Titre;Genre;Compositeur;Origine;Volume;Fichier
Adèle Blanc Sec;Scottish;Frédéric Paris;;;Scottish/Adele_Blanc_Sec.pdf
Air in G;Classique;J.S. Bach;;;Classique/Air-in-G.pdf
Alambic;Bourrée;Norbert Pignol;;;Bourree/alambic.pdf
Alio;Mazurka;Pascale Rubens;;;Mazurkas/alioam.pdf
All of me;Jazz;Gerald Marks - Seymour Simons;;;Jazz/All-of-me.pdf
Along with the girls;Jig;trad.;Irlande;;Jigs/Along-with-girls.pdf
Amazing grace;;trad.;Ecosse;;Ecosse/Amazing-grace.pdf
Amsterdam;;J. Brel;;chansons;Chansons/Amsterdam.pdf
An Anglezed Bonetoù Ruz;Andro;trad.;Bretagne;;Andro/An-Anglezed-bonetou-ruz.pdf
An dro d’Alan;Andro;trad.;Bretagne;;Andro/Andro-dAlan.pdf
An dro de Saint-Nazaire;Andro;trad.;Bretagne;;Andro/Andro-de-Saint-Nazaire.pdf
An dro Galicien;Andro;trad.;;;Andro/Andro-galicien.pdf
An dro Gwendal;Andro;trad.;Bretagne;;Andro/Andro-Gwendal.pdf
An dro Vannetais;Andro;trad.;Bretagne;;Andro/Andro-vannetais.pdf
Archibald;Valse;trad.;Ecosse;;Valse/Archibald.pdf
Armaguedon;Jig;;;En cours…;Jigs/Armaguedon.pdf
Astrid;Valse;trad.;Suède;;Valse/Astrid.pdf
Au café du canal;Valse;Pierre Perret;;chansons;Chansons/AuCafeDuCanal.pdf
Avant deux de travers;Avant-deux;trad.;Bretagne;;Bretagne/Avant-deux-travers.pdf
Avant deux de travers 1;Avant-deux;trad.;Bretagne;;Bretagne/Avant-deux-travers1.pdf
Avant deux de travers 2;Avant-deux;trad.;Bretagne;;Bretagne/Avant-deux-travers2.pdf
Avant deux de travers 3;Avant-deux;trad.;Bretagne;;Bretagne/Avant-deux-travers3.pdf
Avant deux de travers 4;Avant-deux;trad.;Bretagne;;Bretagne/Avant-deux-travers4.pdf
Avant deux de travers 5;Avant-deux;trad.;Bretagne;;Bretagne/Avant-deux-travers5.pdf
Bal à quatre;;trad.;Bretagne;;Bretagne/Bal-a-quatre.pdf
Balkans;Recueils;;;;Recueils/Repertoire-Russie-Balkan.pdf
Ballade irlandaise;;trad.;Irlande;;Irlande/Ballade-irlandaise.pdf
Balleydesmond;Polka;trad.;Irlande;;Polka/Balleydesmond.pdf
Bella Ciao;;trad.;Italie;chansons;Chansons/Bella_ciao.pdf
Bled;Valse;Trio Amestrio;;;Valse/Bled.pdf
Bonsoir maître de maison;Andro;trad.;Bretagne;;Andro/Bonsoir_Maitre_de_Maison.pdf
Bossy Band Reel;Reel;;Irlande;;Reel/Bossy-Band-Reel.pdf
Both sides the tweed;Valse;trad.;Ecosse;;Valse/Both-sides-the-Tweed.pdf
Bourrée 3 temps ou marchoise;Bourrée;;;;Bourree/Marchoise.pdf
Broceliande;Reel;;Irlande;En cours…;Reel/Broceliande.pdf
Ça gaze;Mazurka;Victor Marceau;;;Mazurkas/Ca-gaze.pdf
Castle Kelly;Reel;;Irlande;En cours…;Reel/CastleKelly.pdf
Ce n’est rien;;J. Clerc;;chansons;Chansons/Ce-n-est-rien.pdf
Ce sont les filles de Landéda;;trad.;Bretagne;;Bretagne/Les-filles-de-Landeda.pdf
Cercle Aqui;Cercle;;;En cours…;Cercle/CercleAqui.pdf
Cercle circachien;Cercle;;;En cours…;Cercle/CircaChien.pdf
